slice_idx,z_mm,lesion_id,label_2d,slice_lesion_key,area_mm2,peak_hu,density_weight,agatston,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,n_voxels,mean_coverage,included,lesion_3d_id,lesion_3d_key
24,72.0,16,1,z024_c01,0.54760001411438,280.0,2,1.09520002822876,179.5,96.5,179,96,180,97,4,0.7388972043991089,False,15,L015
24,72.0,17,2,z024_c02,0.684500017642975,235.0,2,1.36900003528595,175.4,99.8,175,99,176,101,5,0.8688986897468567,False,16,L016
24,72.0,18,3,z024_c03,4.517700116443635,213.0,2,9.03540023288727,361.27272727272725,284.7878787878788,358,282,364,287,33,0.9898393750190735,True,14,L014
25,75.0,19,1,z025_c01,3.83320009880066,196.0,1,3.83320009880066,347.5,285.14285714285717,345,283,350,287,28,0.9977428317070007,True,17,L017
26,78.0,20,1,z026_c01,3.83320009880066,175.0,1,3.83320009880066,345.89285714285717,282.92857142857144,343,281,349,285,28,0.9869312047958374,True,17,L017
27,81.0,21,1,z027_c01,0.136900003528595,287.0,2,0.27380000705719,181.0,121.0,181,121,181,121,1,0.8019155263900757,False,18,L018
27,81.0,22,2,z027_c02,55.03380141849519,660.0,4,220.13520567398075,312.26616915422886,258.6641791044776,291,251,332,268,402,0.9971942901611328,True,19,L019
28,84.0,23,1,z028_c01,4.65460011997223,274.0,2,9.30920023994446,294.61764705882354,254.23529411764707,291,252,299,256,34,0.9766893982887268,True,19,L019
28,84.0,24,2,z028_c02,5.4760001411438,236.0,2,10.9520002822876,315.65,259.325,312,256,319,263,40,0.982081413269043,True,19,L019
29,87.0,25,1,z029_c01,1.505900038814545,208.0,2,3.01180007762909,189.27272727272728,138.1818181818182,188,136,191,140,11,0.7958049178123474,True,20,L020
29,87.0,26,2,z029_c02,2.601100067043305,133.0,1,2.601100067043305,144.57894736842104,304.57894736842104,143,302,146,307,19,0.9764587879180908,True,21,L021
31,93.0,27,1,z031_c01,12.59480032463074,318.0,3,37.78440097389222,230.1413043478261,163.0108695652174,224,159,236,168,92,0.9880324602127075,True,22,L022
31,93.0,28,2,z031_c02,7.255700187015535,253.0,2,14.51140037403107,135.20754716981133,254.39622641509433,131,251,139,258,53,0.9767337441444397,True,23,L023
31,93.0,29,3,z031_c03,4.38080011291504,163.0,1,4.38080011291504,164.90625,284.21875,162,281,168,287,32,0.9905375838279724,True,24,L024
32,96.0,30,1,z032_c01,33.67740086803437,660.0,4,134.70960347213747,248.5528455284553,167.82926829268294,231,162,261,178,246,0.9906940460205078,True,22,L022
32,96.0,31,2,z032_c02,2.327300059986115,133.0,1,2.327300059986115,163.64705882352942,265.0,162,263,166,267,17,0.9788379669189453,True,25,L025
33,99.0,32,1,z033_c01,28.47520073394776,703.0,4,113.90080293579103,248.27403846153845,167.84134615384616,237,162,257,176,208,0.9955874681472778,True,22,L022
33,99.0,33,2,z033_c02,4.243900109386445,179.0,1,4.243900109386445,229.19354838709677,180.96774193548387,226,179,232,183,31,0.9801185727119446,True,26,L026
33,99.0,34,3,z033_c03,39.15340100917817,315.0,3,117.4602030275345,200.22027972027973,216.37412587412587,186,201,216,232,286,0.9902997016906738,True,27,L027
34,102.0,35,1,z034_c01,8.350900215244295,269.0,2,16.70180043048859,233.04918032786884,183.27868852459017,229,179,237,187,61,0.9895811676979065,True,26,L026
34,102.0,36,2,z034_c02,11.088900285816194,199.0,1,11.088900285816194,219.4814814814815,197.59259259259258,214,192,225,204,81,0.996682345867157,True,27,L027
34,102.0,37,3,z034_c03,17.112500441074374,365.0,3,51.33750132322312,194.392,220.48,188,214,201,228,125,0.9949095845222473,True,27,L027
